"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_49","P8_50","P8_51_1","P8_51_2","P8_52","P8_53_1","P8_53_2","P8_54_1","P8_54_2","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0005685","17","1","01","01","000800","00800","04","0","00","00","03","00","01","124","0001195",6103,"2","3"
"0005697","15","1","01","01","000450","00300","99","9","00","00","04","00","02","124","0001196",3227,"2","3"
"0005727","09","1","03","01","019600","00930","99","9","00","99","99","99","99","126","0001199",4839,"2","4"
"0005733","17","1","01","01","008000","01200","99","9","04","00","09","00","04","126","0001199",4839,"2","4"
"0005790","05","1","02","01","001000","00300","99","9","00","00","04","00","01","126","0001203",4327,"2","4"
"0005872","04","1","03","01","006000","02400","02","0","00","00","04","00","02","128","0001213",1937,"2","1"
"0005900","04","1","01","01","032000","03800","99","9","00","02","00","01","00","129","0001220",1132,"3","1"
"0005909","04","1","02","01","001000","01500","99","9","00","00","04","00","01","129","0001222",850,"3","1"
"0005921","01","1","03","01","000800","01600","03","0","00","00","04","00","01","128","0001226",1377,"2","1"
"0005937","02","1","02","01","007000","01400","99","9","00","01","06","01","06","128","0001230",2225,"2","1"
"0005946","04","1","02","01","000680","02000","05","0","00","00","05","00","01","127","0001232",2153,"1","1"
"0005947","05","1","02","01","000600","00600","99","9","00","00","05","00","01","127","0001232",2153,"1","1"
"0005963","05","1","01","01","003000","01400","99","9","00","00","04","00","02","127","0001236",1745,"1","1"
"0005964","01","1","01","01","002500","01600","05","0","00","00","04","00","02","127","0001237",1958,"1","1"
"0005972","05","1","01","01","004000","00350","99","9","00","00","03","00","01","127","0001238",1482,"1","1"
"0005973","01","1","01","01","008000","01200","99","9","00","00","03","00","03","129","0001239",724,"3","1"
"0005986","04","1","01","01","017000","03300","04","0","00","00","04","00","03","129","0001242",1012,"3","1"
"0005993","02","1","01","01","010000","03000","10","0","00","00","04","00","04","130","0001244",135,"4","1"
"0006005","05","1","01","01","050000","13200","08","0","00","00","04","00","03","129","0001246",1201,"3","1"
"0006044","01","1","01","01","000800","00800","05","0","00","00","04","00","01","131","0001258",3046,"2","1"
"0006044","01","1","03","01","001200","01600","05","0","00","00","04","00","01","131","0001258",3046,"2","1"
"0006049","02","1","02","01","009000","06800","71","0","00","00","04","00","01","131","0001259",4177,"2","1"
"0006065","03","1","01","01","005000","01200","99","9","00","00","04","00","01","134","0001264",963,"3","1"
