"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_12","P8_13","P8_14_1","P8_14_2","P8_15","P8_16","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000693","02","1","01","01","3","00500","38","0","002700","03","012","0000163",2445,"2","1"
"0000694","03","1","02","01","3","00350","99","9","002100","00","012","0000163",2445,"2","1"
"0000694","03","1","02","02","7","02000","99","9","999999","00","012","0000163",2445,"2","1"
"0000695","04","1","01","01","3","00500","99","9","004000","12","012","0000163",2445,"2","1"
"0000695","04","1","01","02","7","00000","99","9","000000","00","012","0000163",2445,"2","1"
"0000695","04","1","02","01","7","00311","99","9","015000","00","012","0000163",2445,"2","1"
"0000696","05","1","01","01","7","01100","99","9","013000","00","012","0000163",2445,"2","1"
"0000696","05","1","02","01","3","00412","99","9","999999","00","012","0000163",2445,"2","1"
"0000697","01","1","03","01","3","00924","99","0","003000","00","013","0000164",2201,"3","1"
"0000698","02","1","01","01","7","00000","00","9","013000","00","013","0000164",2201,"3","1"
"0000698","02","1","03","01","7","00600","99","9","003000","00","013","0000164",2201,"3","1"
"0000698","02","1","03","02","3","00000","99","9","003000","12","013","0000164",2201,"3","1"
"0000705","02","1","01","01","3","01000","99","0","003000","00","014","0000166",1220,"4","1"
"0000707","05","1","01","01","3","00200","99","0","000800","00","014","0000166",1220,"4","1"
"0000709","02","1","05","01","3","00800","99","9","010000","02","014","0000167",1394,"4","1"
"0000710","03","1","01","01","3","00500","99","9","003000","01","014","0000167",1394,"4","1"
"0000715","03","1","03","01","3","00470","36","0","001594","00","009","0000168",2009,"3","1"
"0000725","01","1","01","01","2","00000","99","9","000000","00","009","0000172",1791,"3","1"
"0000726","02","1","02","01","2","02000","99","9","005000","00","009","0000172",1791,"3","1"
"0000735","04","1","02","01","3","01000","99","9","015000","02","009","0000174",2255,"3","1"
"0000738","04","1","02","01","3","00600","99","9","004000","00","010","0000175",954,"4","1"
"0000738","04","1","02","02","7","00850","99","9","004500","00","010","0000175",954,"4","1"
"0000741","04","1","04","01","3","00400","99","9","999999","02","010","0000176",1346,"4","1"
"0000752","01","1","01","01","3","00000","99","9","000300","01","008","0000179",2552,"2","1"
"0000764","02","1","02","01","5","01400","99","9","005000","00","010","0000183",1168,"4","1"
"0000767","02","1","01","01","3","01000","09","0","029000","08","009","0000184",1854,"3","1"
"0000775","02","1","02","01","3","00500","99","9","002000","00","008","0000186",2491,"2","1"
"0000780","02","1","01","01","3","01200","99","9","007000","01","008","0000187",2322,"2","1"
"0000793","04","1","01","01","3","00315","12","0","002000","00","009","0000190",1604,"3","1"
"0000793","04","1","03","01","3","00300","10","0","002000","00","009","0000190",1604,"3","1"
"0000793","04","1","07","01","3","01800","16","0","004000","02","009","0000190",1604,"3","1"
"0000795","01","1","01","01","3","00150","99","9","001000","00","008","0000191",1811,"2","1"
"0000807","01","1","04","01","3","00600","99","9","004800","01","008","0000195",2028,"2","1"
"0000808","02","1","02","01","3","00500","99","9","005000","00","008","0000195",2028,"2","1"
"0000816","05","1","01","01","3","00950","99","9","010000","01","009","0000196",1836,"3","1"
"0000824","02","1","01","01","3","01500","99","9","011000","00","008","0000199",2461,"2","1"
"0000824","02","1","02","01","3","03000","99","9","011000","01","008","0000199",2461,"2","1"
"0000824","02","1","04","01","3","00250","99","9","000300","05","008","0000199",2461,"2","1"
"0000824","02","1","05","01","3","00350","99","9","005000","00","008","0000199",2461,"2","1"
"0000825","03","1","03","01","3","00800","99","9","005000","00","008","0000199",2461,"2","1"
"0000827","02","1","01","01","3","00200","99","9","001000","00","008","0000200",3574,"2","1"
"0000832","02","1","05","01","3","00000","99","9","005000","02","008","0000201",2818,"2","1"
"0000835","01","1","01","01","3","00600","99","9","003800","00","008","0000202",2224,"2","1"
"0000837","03","1","02","01","3","00750","99","9","012000","01","008","0000202",2224,"2","1"
"0000842","03","1","01","01","3","00950","99","9","025000","00","008","0000203",2671,"2","1"
"0000843","05","1","01","01","9","00300","99","9","004000","00","008","0000203",2671,"2","1"
"0000843","05","1","01","02","3","00350","99","9","002500","00","008","0000203",2671,"2","1"
"0000843","05","1","02","01","3","00500","99","9","003800","00","008","0000203",2671,"2","1"
"0000844","04","1","01","01","3","01150","08","0","001150","00","009","0000204",1596,"3","1"
"0000847","02","1","02","01","3","00650","99","9","010800","03","009","0000205",1915,"3","1"
