"FOLIO","VIV_SEL","HOGAR","N_INF","P2_9","P2_10","EDIS","UPM_DIS","FAC_HOG","ESTRATO","TLOC"
"0000247","01","1","01","","01","002","0000069",692,"3","1"
"0000248","04","1","01","","01","002","0000069",692,"3","1"
"0000249","05","1","02","","01","002","0000069",692,"3","1"
"0000250","01","1","01","","01","002","0000070",668,"3","1"
"0000251","02","1","01","","01","002","0000070",668,"3","1"
"0000252","03","1","01","","01","002","0000070",668,"3","1"
"0000253","04","1","02","","01","002","0000070",668,"3","1"
"0000254","05","1","01","","01","002","0000070",668,"3","1"
"0000255","01","1","01","","01","002","0000071",652,"3","1"
"0000256","02","1","01","","01","002","0000071",652,"3","1"
"0000257","03","1","02","","02","002","0000071",652,"3","1"
"0000258","02","1","01","","01","003","0000072",421,"4","1"
"0000259","01","1","02","","01","002","0000073",759,"3","1"
"0000260","02","1","01","","01","002","0000073",759,"3","1"
"0000261","03","1","02","","02","002","0000073",759,"3","1"
"0000262","04","1","02","","01","002","0000073",759,"3","1"
"0000263","01","1","02","","01","002","0000074",690,"3","1"
"0000264","02","1","01","","01","002","0000074",690,"3","1"
"0000265","03","1","02","","01","002","0000074",690,"3","1"
"0000266","05","1","03","","01","002","0000074",690,"3","1"
"0000267","01","1","01","","01","002","0000075",669,"3","1"
"0000268","03","1","02","","01","002","0000075",669,"3","1"
"0000269","04","1","02","","01","002","0000075",669,"3","1"
"0000270","05","1","02","","01","002","0000075",669,"3","1"
"0000271","03","1","02","","02","003","0000076",403,"4","1"
"0000272","04","1","02","","02","003","0000076",403,"4","1"
"0000273","05","1","02","","02","003","0000076",403,"4","1"
"0000274","01","1","02","","02","003","0000077",397,"4","1"
"0000275","02","1","02","","02","003","0000077",397,"4","1"
"0000276","03","1","01","","01","003","0000077",397,"4","1"
"0000277","04","1","02","","02","003","0000077",397,"4","1"
"0000278","02","1","02","","02","003","0000078",385,"4","1"
"0000279","03","1","02","","02","003","0000078",385,"4","1"
"0000280","01","1","02","","02","003","0000079",381,"4","1"
"0000281","02","1","02","","02","003","0000079",381,"4","1"
"0000282","04","1","01","","01","003","0000079",381,"4","1"
"0000283","05","1","02","","01","003","0000079",381,"4","1"
"0000284","01","1","01","","01","003","0000080",471,"4","1"
"0000285","02","1","01","","01","003","0000080",471,"4","1"
"0000286","03","1","01","","01","003","0000080",471,"4","1"
"0000287","05","1","01","","01","003","0000080",471,"4","1"
"0000288","01","1","02","","02","003","0000081",389,"4","1"
"0000289","02","1","02","","02","003","0000081",389,"4","1"
"0000290","05","1","01","","01","003","0000081",389,"4","1"
"0000291","01","1","01","","01","003","0000082",401,"4","1"
"0000292","02","1","01","","01","003","0000082",401,"4","1"
"0000293","03","1","02","","02","003","0000082",401,"4","1"
"0000294","04","1","01","","01","003","0000082",401,"4","1"
"0000295","05","1","02","","03","003","0000082",401,"4","1"
"0000296","01","1","04","","04","003","0000083",390,"4","1"
"0000297","02","1","02","","02","003","0000083",390,"4","1"
"0000298","03","1","01","","01","003","0000083",390,"4","1"
"0000299","04","1","02","","02","003","0000083",390,"4","1"
"0000300","05","1","01","","01","003","0000083",390,"4","1"
"0000301","01","1","01","","01","001","0000084",933,"2","1"
"0000302","02","1","01","","01","001","0000084",933,"2","1"
"0000303","03","1","01","","01","001","0000084",933,"2","1"
"0000304","04","1","01","","01","001","0000084",933,"2","1"
"0000305","01","1","01","","01","003","0000085",389,"4","1"
"0000306","04","1","01","","01","003","0000085",389,"4","1"
"0000307","01","1","02","","02","003","0000086",412,"4","1"
"0000308","02","1","01","","01","003","0000086",412,"4","1"
"0000309","04","1","01","","01","003","0000086",412,"4","1"
"0000310","05","1","01","","01","003","0000086",412,"4","1"
"0000311","02","1","04","","01","003","0000087",405,"4","1"
"0000312","04","1","02","","02","003","0000087",405,"4","1"
"0000313","05","1","01","","01","003","0000087",405,"4","1"
"0000314","01","1","01","","01","003","0000088",408,"4","1"
"0000315","03","1","02","","02","003","0000088",408,"4","1"
"0000316","04","1","02","","02","003","0000088",408,"4","1"
"0000317","02","1","02","","01","003","0000089",421,"4","1"
"0000318","03","1","03","","02","003","0000089",421,"4","1"
"0000319","01","1","01","","01","003","0000090",389,"4","1"
"0000320","05","1","01","","01","003","0000090",389,"4","1"
"0000321","01","1","01","","01","003","0000091",425,"4","1"
"0000322","02","1","01","","01","003","0000091",425,"4","1"
"0000323","03","1","01","","01","003","0000091",425,"4","1"
"0000324","05","1","01","","01","003","0000091",425,"4","1"
"0000325","01","1","02","","02","001","0000092",954,"2","1"
"0000326","02","1","02","","01","001","0000092",954,"2","1"
"0000327","03","1","02","","02","001","0000092",954,"2","1"
"0000328","04","1","03","","01","001","0000092",954,"2","1"
"0000329","05","1","02","","02","001","0000092",954,"2","1"
