"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_7","P7_8","P7_9","P7_10","P7_11","P7_12","P7_13_1","P7_13_2","P7_14","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0002680","02","1","01","01","1","0220000","06000","36","18","0110000","02","5","00","060","0000563",376,"3","1"
"0002694","03","1","01","01","1","0400000","20000","24","14","0240000","99","9","00","061","0000567",220,"4","1"
"0002695","04","1","01","01","1","0098000","03300","36","31","0084000","99","9","00","061","0000567",220,"4","1"
"0002697","03","1","01","01","4","","","","","","","","","060","0000568",391,"3","1"
"0002706","03","1","01","01","4","","","","","","","","","061","0000571",254,"4","1"
"0002711","04","1","03","01","1","0170000","06000","36","34","0158000","99","9","00","061","0000572",254,"4","1"
"0002713","04","1","01","01","1","0180000","04200","60","58","0180000","08","0","00","061","0000573",241,"4","1"
"0002715","02","1","01","01","1","0150000","04516","60","16","0060000","99","9","00","061","0000574",231,"4","1"
"0002715","02","1","01","02","1","0100000","04150","30","18","0060000","99","9","00","061","0000574",231,"4","1"
"0002717","04","1","01","01","1","0139000","03100","60","50","0130000","99","9","00","061","0000574",231,"4","1"
"0002731","03","1","02","01","1","0250000","04400","36","24","0200000","99","9","00","059","0000577",472,"2","1"
"0002736","04","1","01","01","4","","","","","","","","","061","0000578",184,"4","1"
"0002752","04","2","01","01","3","0160000","02800","60","48","0135000","12","0","00","061","0000582",232,"4","1"
"0002763","01","1","01","01","4","","","","","","","","","063","0000586",269,"3","1"
"0002784","03","1","03","01","3","0045000","01500","60","42","0036000","99","9","00","062","0000590",487,"2","1"
"0002792","03","1","02","01","3","0219000","04000","60","14","0045000","01","2","01","062","0000592",465,"2","1"
"0002809","02","1","01","01","1","0275000","06000","36","05","0025000","99","9","00","062","0000596",170,"2","1"
"0002830","05","1","03","01","1","0237000","04190","54","02","0028000","99","9","00","063","0000600",291,"3","1"
"0002830","05","1","03","02","1","0240000","05676","48","42","0220000","99","9","00","063","0000600",291,"3","1"
"0002851","02","1","01","01","2","0135000","04500","60","48","9999999","12","9","00","064","0000606",294,"4","1"
"0002858","01","1","03","01","1","0180000","02300","72","24","0048000","13","0","00","064","0000608",277,"4","1"
"0002862","05","1","01","01","4","","","","","","","","","064","0000608",277,"4","1"
"0002863","01","1","01","01","1","0273000","05000","36","28","9999999","99","9","00","064","0000609",175,"4","1"
"0002870","01","1","02","01","2","0090000","03000","48","30","9999999","20","0","00","064","0000611",378,"4","1"
"0002876","03","1","01","01","1","0210000","05000","60","99","9999999","99","9","00","064","0000612",231,"4","1"
"0002877","04","1","02","01","3","0245000","04250","60","24","9999999","99","9","00","064","0000612",231,"4","1"
"0002878","05","1","01","01","3","0027000","01200","36","18","0016000","99","0","00","064","0000612",231,"4","1"
"0002883","02","1","01","01","2","0120000","04700","60","24","0080000","12","0","00","059","0000614",625,"2","1"
"0002883","02","1","02","01","2","0150000","06700","60","02","0120000","12","0","00","059","0000614",625,"2","1"
"0002883","02","1","03","01","1","0250000","06000","60","36","0100000","99","9","00","059","0000614",625,"2","1"
"0002893","03","1","02","01","1","0180000","05800","36","24","0150000","99","9","00","060","0000616",350,"3","1"
"0002895","01","1","01","01","1","0025000","01800","18","09","0012000","02","5","00","059","0000617",609,"2","1"
"0002898","04","1","01","01","1","0200000","04600","60","05","0023000","99","9","00","059","0000617",609,"2","1"
"0002907","04","1","04","01","4","","","","","","","","","060","0000619",368,"3","1"
"0002909","04","1","01","01","3","0180000","05500","72","60","0150000","09","0","00","060","0000620",347,"3","1"
"0002930","03","1","01","01","2","0400000","11000","60","24","0200000","99","9","00","061","0000626",256,"4","1"
"0002935","03","1","01","01","4","","","","","","","","","060","0000627",385,"3","1"
"0002936","04","1","02","01","1","0290000","05000","60","48","0190000","13","0","00","060","0000627",385,"3","1"
"0002958","05","1","02","01","3","0050000","01250","36","10","0013800","02","7","00","061","0000632",223,"4","1"
"0002970","01","1","01","01","2","0290000","04000","72","12","0046000","99","9","00","061","0000636",241,"4","1"
"0002996","02","1","02","01","4","","","","","","","","","061","0000643",209,"4","1"
"0002997","03","1","01","01","3","0260000","05000","72","42","0186000","12","0","00","061","0000643",209,"4","1"
"0003011","03","1","01","01","1","0100000","09500","12","02","0025000","12","0","00","061","0000646",603,"4","1"
"0003026","12","1","01","01","2","0100000","01700","60","36","0060000","99","9","00","065","0000648",579,"2","2"
"0003055","06","1","02","01","1","0100000","01800","72","10","0035000","09","0","00","065","0000650",505,"2","2"
"0003074","09","1","02","01","3","0050000","01300","18","06","0007000","99","9","00","065","0000651",546,"2","2"
"0003095","14","1","02","01","1","0130000","04400","60","42","0160000","99","9","01","066","0000652",476,"2","3"
"0003119","05","1","01","01","3","0100000","01500","60","30","0050000","02","0","00","066","0000654",686,"2","3"
"0003122","08","1","01","01","2","0280000","06500","60","48","0220000","99","9","00","066","0000654",686,"2","3"
"0003138","06","1","01","01","1","0350000","10000","36","24","0270000","13","7","00","067","0000656",395,"2","4"
"0003138","06","1","02","01","1","0300000","11000","36","15","0200000","12","0","00","067","0000656",395,"2","4"
"0003143","14","1","01","01","4","","","","","","","","","067","0000656",395,"2","4"
"0003145","16","1","01","01","2","0400000","03650","24","22","0400000","00","8","00","067","0000656",395,"2","4"
"0003146","17","1","04","01","4","","","","","","","","","067","0000656",395,"2","4"
"0003173","07","1","01","01","4","","","","","","","","","067","0000658",379,"2","4"
"0003243","04","1","02","01","1","9999999","06000","48","24","9999999","99","9","00","073","0000674",1017,"4","1"
"0003257","02","1","01","01","1","0120000","06000","12","10","0100000","99","9","00","070","0000679",315,"4","1"
"0003266","01","1","01","01","2","0100000","03400","36","05","0015000","12","1","00","070","0000682",317,"4","1"
"0003276","03","1","01","01","1","0200000","99999","60","24","9999999","13","0","00","069","0000686",1263,"3","1"
